path,status,owner,note,original_size,mobile_size,original_sha256,mobile_sha256
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Api/Debug/GodotSharpEditor.xml,ADD,unclassified,needs manual triage,,731438,,4682845b7d05e200ef606740e5ce3b6ac942445613250e730e3d1806d1ea9967
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Api/Release/GodotPlugins.dll,ADD,unclassified,needs manual triage,,11776,,bebebf4e6a6a1288f5e49e38809120ec8da30a8ee14b19b97ed03c445efaf78e
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Api/Release/GodotPlugins.pdb,ADD,unclassified,needs manual triage,,12924,,67fc0f2b5eb1cbf67449e197a9fa948c81c0e5aeb994507f2fc781290b80fb93
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Api/Release/GodotPlugins.runtimeconfig.json,ADD,unclassified,needs manual triage,,362,,163a87196bb2c5607973cbf99e6215bf4b2623dadedeb86e65bc465ce309b988
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Api/Release/GodotSharp.dll,ADD,unclassified,needs manual triage,,5613568,,0e4897ecdfb31456a97c7d8028dfb8d7dbdc632e2f73fc9b438d7b266a139289
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Api/Release/GodotSharp.pdb,ADD,unclassified,needs manual triage,,5134240,,b4f6a99fe8065f988a895eb8e55e1c25e88fb22cd9371b9a389165bfeea4b212
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Api/Release/GodotSharp.xml,ADD,unclassified,needs manual triage,,15229809,,f4ab4569f4da686bda80268e43a1a3e1299ebb8738447b70ce8010277ad4eefe
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Api/Release/GodotSharpEditor.dll,ADD,unclassified,needs manual triage,,284160,,687aa74f626153bc6d46670a54d0834ef08dae6bb2724f086c653896e1183f28
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Api/Release/GodotSharpEditor.pdb,ADD,unclassified,needs manual triage,,305600,,c46a6ac84416626e3101dc0cdab39ccd62ea45387309e2f64f26862bf044ce34
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Api/Release/GodotSharpEditor.xml,ADD,unclassified,needs manual triage,,731438,,4682845b7d05e200ef606740e5ce3b6ac942445613250e730e3d1806d1ea9967
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Tools/GodotTools.BuildLogger.dll,ADD,unclassified,needs manual triage,,9728,,e3ef3c29d5a59322bb9396ef0c713e0170a50877aa51208b52f05c5734c27c19
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Tools/GodotTools.BuildLogger.pdb,ADD,unclassified,needs manual triage,,11724,,8dc4e0a1010888831f29342ae9da7b7cf8a53ecffbf4146df7b7b75dcf828356
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Tools/GodotTools.Core.dll,ADD,unclassified,needs manual triage,,7680,,0d172dd6c2f5d7bc39702a424b28586b264c99363b926738764093bae429e85a
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Tools/GodotTools.Core.pdb,ADD,unclassified,needs manual triage,,11972,,ebf281e3ee510cfa53b518e6a43c5d9db80d490c40e5add48f1f6ffbafbefb29
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Tools/GodotTools.IdeMessaging.dll,ADD,unclassified,needs manual triage,,44544,,9fe3fcf35d4780b922d6933d016990b922eeaf0025529ebdebb03df6c4d02fc0
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Tools/GodotTools.IdeMessaging.pdb,ADD,unclassified,needs manual triage,,18476,,db7ce0420e4e63d8e2fcf4641ba08af6cff1e9455cc7cb09f75fa2e5b81afbfa
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Tools/GodotTools.ProjectEditor.dll,ADD,unclassified,needs manual triage,,22528,,c22753889b7ea6ad2c07411ec5c02a1439b3908cddfc9d7c85f5ea4374ecdb65
.tools/godot/Godot_v4.5.1-stable_mono_linux_x86_64/GodotSharp/Tools/GodotTools.ProjectEditor.pdb,ADD,unclassified,needs manual triage,,18964,,400f6193f712c422bd1055d5b211df5a35875b041a042c2cd6c6be8d0e1e0246
